t,score,shape,power_db,rssi,state
57.722,-0.603,0.458,-0.105,-57.7,0
57.842,-0.613,0.400,-0.138,-57.8,0
57.990,-0.538,0.444,-0.164,-58.0,0
58.110,-0.417,0.547,-0.158,-58.5,0
58.259,-0.211,0.787,-0.051,-59.6,0
58.383,0.081,0.961,-0.054,-60.4,0
58.528,0.380,1.064,-0.122,-61.2,0
58.650,0.706,1.214,-0.138,-62.0,0
58.798,0.993,1.330,-0.124,-62.7,0
58.948,1.229,1.388,-0.157,-63.2,0
59.106,1.310,1.322,-0.184,-63.3,0
59.278,1.313,1.312,-0.133,-63.7,0
59.399,1.404,1.409,-0.116,-64.3,0
59.531,1.651,1.516,-0.252,-65.1,0
59.673,1.759,1.473,-0.269,-65.5,0
59.794,1.813,1.459,-0.279,-65.9,0
59.914,1.759,1.392,-0.260,-66.4,0
60.065,1.817,1.394,-0.348,-66.6,0
60.209,1.827,1.402,-0.325,-67.0,0
60.335,1.896,1.495,-0.301,-67.3,0
60.508,1.953,1.537,-0.277,-67.6,0
60.658,1.931,1.493,-0.260,-67.9,0
60.808,1.597,1.187,-0.225,-68.1,0
60.934,1.223,0.979,-0.222,-68.3,0
61.087,1.142,1.125,-0.209,-68.6,0
61.320,1.068,1.095,-0.215,-69.1,0
61.469,1.210,1.139,-0.345,-70.3,0
61.650,1.825,1.575,-0.488,-71.8,0
61.798,2.593,2.002,-0.547,-73.1,0
61.938,3.356,2.313,-0.603,-74.3,0
62.069,4.199,2.685,-0.683,-75.3,1
62.197,5.295,3.351,-0.706,-75.3,1
62.370,6.152,3.729,-0.545,-74.8,1
62.496,6.366,3.500,-0.497,-74.6,1
62.639,6.555,3.591,-0.470,-75.0,1
62.823,6.183,3.151,-0.415,-73.6,1
62.968,5.288,2.504,-0.332,-71.6,1
63.118,4.283,1.980,-0.333,-70.4,1
63.239,3.628,1.834,-0.377,-69.9,1
63.419,2.692,1.283,-0.307,-68.4,1
63.568,2.313,1.298,-0.392,-68.1,0
63.690,2.434,1.641,-0.407,-68.5,0
63.869,3.275,2.236,-0.608,-69.7,0
63.990,3.664,2.275,-0.503,-70.1,0
64.140,4.158,2.476,-0.580,-70.6,1
64.290,4.214,2.246,-0.569,-70.9,1
64.439,3.857,1.832,-0.545,-70.9,1
64.563,3.440,1.669,-0.486,-70.8,1
64.710,3.096,1.702,-0.376,-70.6,1
64.831,2.952,1.716,-0.412,-70.3,1
64.954,2.755,1.612,-0.398,-69.9,1
65.098,2.542,1.517,-0.386,-69.7,1
65.219,2.258,1.405,-0.336,-69.2,0
65.350,2.072,1.446,-0.276,-68.8,0
65.489,2.053,1.581,-0.226,-67.7,0
65.616,2.003,1.576,-0.169,-66.3,0
65.763,1.970,1.602,-0.097,-64.6,0
66.040,1.512,1.185,-0.053,-62.5,0
66.179,0.952,0.873,-0.075,-61.1,0
66.299,0.358,0.615,-0.017,-60.1,0
66.452,-0.112,0.474,-0.022,-59.4,0
66.612,-0.451,0.397,-0.020,-59.4,0
